Rank	Name	NA_Sales	EU_Sales	JP_Sales	Other_Sales
93	Star Wars Battlefront (2015)	2.93	3.29	0.22	1.23
94	Call of Duty: Advanced Warfare	2.8	3.3	0.14	1.37
95	The Legend of Zelda: Ocarina of Time	4.1	1.89	1.45	0.16
96	Crash Bandicoot 2: Cortex Strikes Back	3.78	2.17	1.31	0.31
97	Super Mario Bros. 2	5.39	1.18	0.7	0.19
98	Super Smash Bros. for Wii U and 3DS	3.24	1.35	2.42	0.43
99	Call of Duty: World at War	4.79	1.9	0	0.69
100	Battlefield 3	4.46	2.13	0.06	0.69
101	The Legend of Zelda: Twilight Princess	3.83	2.19	0.6	0.7
102	Call of Duty: Black Ops 3	4.52	2.09	0.01	0.67
103	Just Dance	3.51	3.03	0	0.73
104	Battlefield 3	2.85	2.93	0.35	1.1
105	Need for Speed Underground	3.27	2.83	0.08	1.02
106	Tekken 3	3.27	2.22	1.4	0.29
107	Crash Bandicoot 3: Warped	3.68	1.75	1.42	0.28
108	Super Smash Bros. Melee	4.41	1.04	1.39	0.22
109	Mario Kart 8	3.13	2.07	1.27	0.49
110	Fallout 4	2.47	3.15	0.24	1.1
111	Mario Kart: Double Dash!!	4.12	1.77	0.87	0.19
112	Just Dance 4	4.14	2.21	0	0.56
113	FIFA 14	0.78	4.32	0.07	1.73
114	Need for Speed Underground 2	2.71	3.02	0.08	1.09
115	Medal of Honor: Frontline	2.93	2.75	0.17	0.99
116	Uncharted 3: Drake's Deception	2.77	2.8	0.19	1.06
117	Crash Bandicoot	3.23	2.35	0.94	0.3
118	Zumba Fitness	3.5	2.64	0	0.67
119	Gears of War 2	4.15	1.92	0.06	0.64
120	Uncharted 2: Among Thieves	3.27	2.25	0.21	1
121	Call of Duty 4: Modern Warfare	3.1	2.3	0.28	1.04
122	FIFA 12	0.84	4.32	0.11	1.42
123	Big Brain Academy	1.67	2.78	1.6	0.62
124	Red Dead Redemption	2.79	2.61	0.17	1.03
125	FIFA 15	0.79	4.29	0.05	1.47
126	Donkey Kong Country Returns	3.25	1.84	1.03	0.47
127	The Elder Scrolls V: Skyrim	2.55	2.71	0.25	1.05
128	The Legend of Zelda	3.74	0.93	1.69	0.14
129	Assassin's Creed III	2.64	2.56	0.16	1.14
130	Halo: Combat Evolved	4.98	1.3	0.08	0.07
131	Pok‹¨«‹¨«mon Emerald Ver	2.57	1.58	2.06	0.21
132	Kingdom Hearts	3.64	1.2	1.49	0.07
133	Pok‹¨«‹¨«mon Crystal Ver	2.55	1.56	1.29	0.99
134	Halo 3: ODST	4.34	1.35	0.06	0.61
135	Red Dead Redemption	3.7	1.97	0.09	0.57
136	Super Mario Sunshine	4.01	1.26	0.87	0.17
137	Street Fighter II: The World Warrior	2.47	0.83	2.87	0.12
138	World of Warcraft	0.07	6.21	0	0
139	Driver	3.11	2.8	0.02	0.33
140	Kinect Sports	3.92	1.78	0.03	0.51
141	Gears of War 3	4.05	1.62	0.07	0.49
142	Gears of War	3.54	1.9	0.07	0.6
143	Metal Gear Solid 2: Sons of Liberty	2.45	2.01	0.87	0.72
144	Sonic the Hedgehog 2	4.47	1.2	0.16	0.19
145	Metal Gear Solid 4: Guns of the Patriots	2.63	1.74	0.83	0.83
146	Metal Gear Solid	3.18	1.83	0.78	0.24
147	The Last of Us	2.41	2.28	0.28	1.01
148	Final Fantasy XII	1.88	0	2.33	1.74
149	LittleBigPlanet	2.8	2.05	0.17	0.9
150	Dragon Quest IX: Sentinels of the Starry Skies	0.66	0.69	4.35	0.15
151	LEGO Star Wars: The Complete Saga	3.66	1.63	0	0.53
152	Resident Evil 2	1.88	1.47	2.02	0.45
153	Tekken 2	2.26	1.89	1.36	0.23
154	Cooking Mama	3.13	1.94	0.07	0.58
155	Destiny	2.49	2.05	0.16	0.96
156	Tetris	2.97	0.69	1.81	0.11
157	Assassin's Creed II	2.54	1.95	0.21	0.87
158	Super Smash Bros.	2.95	0.6	1.97	0.04
159	Assassin's Creed	3.28	1.65	0.07	0.55
160	Batman: Arkham City	2.7	1.91	0.11	0.8
161	Forza Motorsport 3	2.99	1.92	0.1	0.51
162	Monster Hunter Freedom Unite	0.47	0.57	4.13	0.34
163	Super Mario Advance	3.14	1.24	0.91	0.2
164	Mario Kart: Super Circuit	2.62	1.64	0.99	0.23
165	Super Mario World	3.21	1.11	0.95	0.2
166	Pokemon Stadium	3.18	1.24	0.94	0.09
167	Call of Duty: World at War	2.72	1.87	0	0.84
168	Crash Bandicoot: The Wrath of Cortex	2.07	2.29	0.24	0.82
169	Minecraft	1.97	2.51	0	0.94
170	Final Fantasy XIII	1.74	1.24	1.87	0.52
171	Dr. Mario	2.18	0.96	2	0.2
172	Pokemon Pinball	3.02	1.12	1.01	0.16
173	Assassin's Creed III	3.13	1.71	0.03	0.44
174	Final Fantasy IX	1.62	0.77	2.78	0.14
175	Final Fantasy X-2	1.92	1.08	2.11	0.17
176	Donkey Kong 64	3.33	0.79	1.09	0.06
177	Assassin's Creed II	3.1	1.56	0.08	0.51
178	Professor Layton and the Curious Village	1.22	2.48	1.03	0.52
179	Tomb Raider II	2.3	2.46	0.2	0.28
180	Madden NFL 2004	4.26	0.26	0.01	0.71
181	Dragon Quest VIII: Journey of the Cursed King	0.65	0.75	3.61	0.2
182	Diablo III	2.43	2.15	0	0.62
183	Super Mario Bros. 3	2.93	1.25	0.83	0.2
184	New Super Mario Bros. U	2.32	1.3	1.27	0.31
185	Super Mario Land 3: Wario Land	2.49	0.98	1.57	0.15
186	FIFA Soccer 13	1.08	3.48	0.03	0.58
187	The Legend of Zelda: Phantom Hourglass	1.9	1.83	0.95	0.49
188	Donkey Kong Country 2: Diddy's Kong Quest	2.1	0.74	2.2	0.11
189	Tomodachi Life	0.96	2.02	1.89	0.28
190	Mario & Sonic at the Olympic Games	1.64	2.48	0.44	0.58
191	Medal of Honor: Rising Sun	1.98	2.23	0.13	0.8
192	Kirby's Dream Land	2.71	0.61	1.7	0.11
193	Fable III	3.59	1.11	0.05	0.38
194	Call of Duty: Advanced Warfare	3.21	1.53	0.01	0.38
195	Microsoft Flight Simulator	3.22	1.69	0	0.2
196	Guitar Hero II	3.81	0.63	0	0.68
197	Resident Evil 5	1.96	1.43	1.08	0.65
198	Grand Theft Auto V	2.66	2.01	0	0.41
199	Grand Theft Auto: Vice City Stories	1.7	2.02	0.16	1.21
200	FIFA Soccer 11	0.6	3.29	0.06	1.13
201	Super Mario Bros.	3.4	1.3	0.15	0.22
202	Resident Evil	2.05	1.16	1.11	0.73
203	Tony Hawk's Pro Skater	3.42	1.38	0.02	0.2
204	Super Smash Bros. for Wii U and 3DS	2.59	1.06	0.8	0.57
205	Warzone 2100	2.79	1.89	0	0.33
206	Spyro the Dragon	3.36	1.36	0.07	0.21
207	Link's Crossbow Training	3.06	1.18	0.29	0.46
208	Guitar Hero III: Legends of Rock	3.49	0.01	0.01	1.48
209	Fallout 3	3.39	1.03	0.09	0.44
210	Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness	1.85	1.2	1.54	0.37
211	Uncharted: Drake's Fortune	2.31	1.73	0.12	0.78
212	Madden NFL 06	3.98	0.26	0.01	0.66
213	LEGO Star Wars: The Complete Saga	2.89	1.54	0	0.46
214	Diddy Kong Racing	2.91	0.99	0.89	0.1
215	Monster Hunter Freedom 3	0	0	4.87	0
216	Dr. Mario	2.62	0.6	1.52	0.1
217	God of War III	2.74	1.36	0.12	0.63
218	StarCraft II: Wings of Liberty	2.56	1.68	0	0.59
219	Assassin's Creed	1.91	2	0.09	0.83
220	FIFA 15	0.57	3.14	0.04	1.07
221	Crash Team Racing	2.57	1.57	0.44	0.21
222	FIFA 17	0.28	3.75	0.06	0.69
223	Batman: Arkham City	2.99	1.31	0.04	0.41
224	Driver 2	2.36	2.1	0.02	0.25
225	The Simpsons: Hit & Run	1.73	2.19	0	0.79
226	Tony Hawk's Pro Skater 2	3.05	1.41	0.02	0.2
227	Animal Crossing: City Folk	1.87	1.12	1.32	0.37
228	The Lord of the Rings: The Two Towers	1.94	1.95	0.08	0.7
229	Forza Motorsport 4	2.08	2.04	0.06	0.47
230	Tomb Raider	2.29	1.97	0.13	0.24
231	Guitar Hero III: Legends of Rock	3.06	1.12	0	0.44
232	The Legend of Zelda: A Link to the Past	2.42	0.91	1.15	0.13
233	The Legend of Zelda: The Wind Waker	2.6	0.99	0.89	0.13
234	Mario & Sonic at the Olympic Winter Games	1.89	1.99	0.22	0.48
235	Luigi's Mansion: Dark Moon	1.78	1.39	1.1	0.3
236	Splatoon	1.55	1.15	1.44	0.43
237	The Last of Us	1.78	1.87	0.07	0.82
238	Guitar Hero III: Legends of Rock	3.19	0.92	0.01	0.42
239	Madden NFL 2005	4.18	0.26	0.01	0.08
240	Pitfall!	4.21	0.24	0	0.05
241	Madden NFL 07	3.63	0.24	0.01	0.61
242	Spider-Man: The Movie	2.71	1.51	0.03	0.23
243	Dragon Quest VII: Warriors of Eden	0.2	0.14	4.1	0.02
244	Uncharted: The Nathan Drake Collection	1.96	1.69	0.08	0.74
245	Call of Duty: Advanced Warfare	1.54	1.94	0.19	0.77
246	God of War	2.71	1.29	0.02	0.43
247	Nintendo Land	2.55	1.11	0.46	0.33
248	Michael Jackson: The Experience	2.67	1.35	0.01	0.39
249	Tony Hawk's Pro Skater 3	2.66	1.29	0.01	0.46
250	Winning Eleven: Pro Evolution Soccer 2007	0.1	2.39	1.05	0.86
251	The Elder Scrolls IV: Oblivion	2.82	1.05	0.13	0.4
252	Zelda II: The Adventure of Link	2.19	0.5	1.61	0.08
253	Need for Speed: Most Wanted	2.03	1.79	0.08	0.47
254	Resistance: Fall of Man	1.73	1.73	0.14	0.75
255	Sonic the Hedgehog	3.03	0.91	0.26	0.13
256	Kingdom Hearts II	2.2	0.58	1.38	0.17
257	FIFA 14	0.92	2.93	0.01	0.46
258	Call of Duty: Advanced Warfare	2.75	1.18	0	0.37
259	Asteroids	4	0.26	0	0.05
260	Fable II	2.51	1.27	0.11	0.41
261	Halo 5: Guardians	2.64	1.2	0.03	0.39
262	Super Mario 3D World	2.11	1.11	0.72	0.3
263	Batman: Arkham Asylum	2.23	1.34	0.07	0.61
264	Assassin's Creed: Revelations	1.41	2.02	0.1	0.72
265	Namco Museum	3	1.11	0.05	0.07
266	Metal Gear Solid 3: Snake Eater	1.46	0	0.83	1.93
267	Daxter	2.45	1.02	0	0.75
268	Warcraft II: Tides of Darkness	1.7	2.27	0	0.23
269	The Legend of Zelda: Ocarina of Time	2.03	1.27	0.62	0.3
270	FIFA Soccer 06	0.78	2.55	0.04	0.84
271	EyeToy Play	0.88	2.3	0.2	0.83
272	Uncharted 4: A Thief's End	1.3	2.07	0.18	0.65
273	Gran Turismo 5 Prologue	1.28	1.83	0.57	0.53
274	Assassin's Creed: Revelations	2.25	1.47	0.04	0.43
275	Street Fighter IV	2.02	1.06	0.58	0.53
276	FIFA 12	0.84	2.79	0.02	0.53
277	Teenage Mutant Ninja Turtles	3.38	0.44	0.31	0.04
278	Excitebike	2.04	0.48	1.57	0.07
279	Frogger	3.79	0.27	0	0.11
280	Madden NFL 2003	3.36	0.21	0.01	0.56
281	Watch Dogs	1.4	1.86	0.11	0.77
282	Half-Life	4.03	0	0.09	0
283	Super Mario World 2: Yoshi's Island	1.65	0.61	1.76	0.09
284	FIFA Soccer 07	0.71	2.48	0.03	0.89
285	The Legend of Zelda: Skyward Sword	2.14	1.2	0.37	0.4
286	Street Fighter II Turbo	1.42	0.51	2.1	0.07
287	Carnival Games	2.13	1.5	0.05	0.42
288	Fallout 4	2.45	1.26	0.01	0.37
289	World of Warcraft: The Burning Crusade	2.57	1.52	0	0
290	Fallout: New Vegas	2.65	1.06	0.04	0.33
291	God of War II	2.32	0.04	0.04	1.67
292	Forza Motorsport 2	2.35	1.28	0.03	0.41
293	World Soccer Winning Eleven 9	0.12	2.26	0.9	0.77
294	Namco Museum Vol.3	2.28	1.55	0.16	0.06
295	Tekken Tag Tournament	1.68	1.51	0.51	0.35
296	Far Cry 4	1.12	2.12	0.1	0.69
297	Star Fox 64	2.78	0.58	0.64	0.04
298	Minecraft	1.38	1.87	0.12	0.65
299	Golf	1.22	0.28	2.46	0.04
300	Fallout 3	2.15	1.2	0.07	0.59
301	Professor Layton and the Diabolical Box	0.92	1.78	0.92	0.37
302	Left 4 Dead 2	2.67	0.89	0.05	0.37
303	Namco Museum: 50th Anniversary	2.08	1.35	0	0.54
304	EA Sports Active	2.1	1.36	0.06	0.4
305	Assassin's Creed: Unity	1.18	1.96	0.08	0.7
306	Donkey Kong Land	1.97	0.76	1.07	0.11
307	Tony Hawk's Underground	2.29	1.17	0.01	0.42
308	Assassin's Creed IV: Black Flag	1.33	1.71	0.13	0.73
309	Monster Hunter 4 Ultimate	0.67	0.49	2.62	0.11
310	MotorStorm	1.53	1.61	0.06	0.67
311	The Elder Scrolls V: Skyrim	1.15	2.09	0	0.64
312	Tekken 5	0.93	1.94	0.31	0.7
313	Dragon Warrior III	0.1	0	3.77	0
314	Sports Champions	2.12	1.14	0.1	0.51
315	NBA 2K16	2.48	0.65	0.03	0.69
316	World Soccer Winning Eleven 8 International	0.16	1.89	1.12	0.68
317	Flash Focus: Vision Training in Minutes a Day	0.87	1.57	1.05	0.35
318	Namco Museum Vol.1	2.12	1.44	0.22	0.06
319	The Legend of Zelda: Link's Awakening	2.21	0.96	0.54	0.13
320	Mario & Luigi: Bowser's Inside Story	2.26	0.48	0.81	0.27
321	Big Brain Academy: Wii Degree	1.06	1.93	0.41	0.43
322	Nintendogs + cats	1.44	1.37	0.73	0.27
323	Batman: Arkham Knight	1.49	1.58	0.1	0.61
324	Mario & Sonic at the London 2012 Olympic Games	1.14	1.91	0.27	0.46
325	LEGO Indiana Jones: The Original Adventures	2.4	1.03	0	0.36
326	Resident Evil Director's Cut	1.82	1.24	0.47	0.25
327	Ratchet & Clank: Size Matters	1.4	1.4	0.1	0.87
328	Just Dance 2014	1.98	1.47	0	0.32
329	The Sims: Unleashed	2.03	1.56	0	0.17
330	Super Paper Mario	1.98	0.88	0.59	0.32
331	Harry Potter and the Sorcerer's Stone	1.37	2	0.14	0.22
332	The Witcher 3: Wild Hunt	0.96	2	0.21	0.56
333	Resident Evil 3: Nemesis	1.3	0.77	1.54	0.11
334	Spyro: Year of the Dragon	1.93	1.58	0	0.19
335	FIFA Soccer 2005	0.58	2.48	0.04	0.59
336	Pok‹¨«‹¨«mon Trading Card 	1.49	0.73	1.38	0.1
337	Battlefield 4	1.3	1.51	0.27	0.61
338	MySims	1.59	1.61	0.08	0.41
339	Friend Collection	0	0	3.67	0
340	Tony Hawk's Pro Skater 4	2.13	1.18	0.01	0.35
341	Midnight Club 3: DUB Edition	1.65	1.22	0	0.79
342	Banjo-Kazooie	1.87	1.13	0.55	0.1
343	SOCOM: U.S. Navy SEALs	2.53	0.81	0.06	0.24
344	Guitar Hero: World Tour	2.33	0.97	0	0.35
345	Gran Turismo 6	0.71	1.8	0.4	0.74
346	Jak and Daxter: The Precursor Legacy	2.08	1.09	0.15	0.33
347	Pokemon Snap	2.23	0.68	0.66	0.06
348	FIFA Soccer 10	0.6	2.46	0.05	0.52
349	Pro Evolution Soccer 2008	0.05	0	0.64	2.93
350	Call of Duty: Ghosts	1.78	1.42	0.05	0.38
351	Resident Evil 4	2.08	0.83	0.46	0.25
352	Tom Clancy's The Division	1.28	1.61	0.15	0.57
353	Star Wars: Battlefront	1.93	1.22	0.03	0.44
354	Doom II: Hell on Earth	2.05	1.4	0	0.16
355	The Simpsons: Road Rage	2.02	1.17	0	0.42
356	Cooking Mama 2: Dinner With Friends	1.61	1.5	0.1	0.39
357	Luigi's Mansion	2.38	0.67	0.46	0.1
358	Star Wars: Battlefront II	2.18	1.02	0.03	0.37
359	WWF SmackDown!	2.01	1.35	0.06	0.16
360	Croc: Legend of the Gobbos	1.57	1.79	0	0.2
361	Grand Theft Auto: Liberty City Stories	1.56	1.4	0.07	0.5
362	The Getaway	1.23	1.77	0.05	0.49
363	Tomb Raider III: Adventures of Lara Croft	1.66	1.58	0.12	0.18
364	James Bond 007: Agent Under Fire	1.9	1.13	0.1	0.41
365	LEGO Star Wars: The Video Game	1.98	1.14	0.01	0.41
366	Battlefield 4	2.14	1.08	0.02	0.29
367	FIFA Soccer 11	0.71	2.4	0.02	0.4
368	Rugrats in Paris: The Movie	1.96	1.33	0	0.23
369	Spyro 2: Ripto's Rage!	2.14	1.21	0.01	0.17
370	Left 4 Dead	2.66	0.5	0.05	0.3
371	Mario & Sonic at the Olympic Winter Games	1.22	1.66	0.27	0.38
372	Resident Evil 5	2.11	0.94	0.12	0.34
373	Donkey Kong Country 3: Dixie Kong's Double Trouble!	1.17	0.5	1.75	0.08
374	Assassin's Creed: Brotherhood	2.84	0.39	0.03	0.24
375	Kung Fu	1.64	0.38	1.42	0.06
376	Batman: Arkham Asylum	2.2	0.97	0.02	0.31
377	Clubhouse Games	0.59	1.83	0.73	0.35
378	FIFA Soccer 2004	0.59	2.36	0.04	0.51
379	Star Wars Battlefront (2015)	1.94	1.22	0.02	0.31
380	Battlefield: Bad Company 2	2.09	1.02	0.04	0.32
381	Guitar Hero: On Tour	2.11	1.01	0.01	0.35
382	Assassin's Creed: Unity	2.26	0.89	0	0.3
383	Far Cry 3	0.88	1.75	0.1	0.72
384	Monster Hunter 4	0	0	3.44	0
385	Borderlands	2.39	0.73	0.03	0.29
386	Tekken 4	1.55	1.27	0.33	0.29
387	Battlefield 4	1.34	1.54	0.17	0.38
388	LittleBigPlanet 2	1.82	1.07	0.06	0.47
389	Grand Theft Auto 2	1.13	2.07	0	0.22
390	Final Fantasy III	0.86	0	2.55	0.02
391	Spider-Man 2	1.75	1.2	0.02	0.43
392	F-1 Race	1.73	0.69	0.59	0.4
393	FIFA Soccer 2003	0.46	2.28	0.05	0.61
394	Crash Bash	1.56	1.47	0.19	0.17
395	LEGO Batman: The Videogame	2.03	1.03	0	0.32
396	Metal Gear Solid V: The Phantom Pain	1.08	1.35	0.48	0.47
397	The Legend of Zelda: Spirit Tracks	1.43	0.94	0.74	0.27
398	WWF War Zone	2.47	0.76	0	0.13
399	The Legend of Zelda: Majora's Mask	1.9	0.67	0.73	0.06
400	Professor Layton and the Unwound Future	0.65	1.61	0.82	0.28
401	Rugrats: Search For Reptar	1.63	1.53	0	0.18
402	Assassin's Creed IV: Black Flag	1.9	1.14	0.01	0.29
403	English Training: Have Fun Improving Your Skills!	0	0.99	2.32	0.02
404	James Bond 007: Nightfire	1.45	1.29	0.12	0.46
405	Ratchet & Clank	1.44	1.01	0.57	0.3
406	Mario Party 9	1.15	1.17	0.76	0.24
407	Star Wars Episode III: Revenge of the Sith	1.47	1.39	0.03	0.43
408	Max Payne	1.99	1.05	0.05	0.22
409	The Lord of the Rings: The Return of the King	1.5	1.28	0.05	0.46
410	Assassin's Creed Syndicate	0.8	1.92	0.06	0.5
411	Destiny	2.13	0.92	0	0.23
412	True Crime: Streets of LA	1.89	1.05	0.02	0.31
413	Wii Music	1.36	1.13	0.46	0.32
414	Gran Turismo (PSP)	0.5	1.59	0.31	0.87
415	Monster Hunter X	0.25	0.19	2.78	0.04
416	Tekken	0.95	1.3	0.77	0.22
417	FIFA 16	0.88	2.11	0	0.23
418	L.A. Noire	1.27	1.33	0.12	0.51
419	Madden NFL 16	2.33	0.3	0	0.59
420	Yokai Watch 2 Ganso/Honke	0.03	0	3.18	0
421	007: Tomorrow Never Dies	1.72	1.33	0	0.16
422	Baseball	0.73	0.1	2.35	0.02
423	Killer Instinct	2.26	0.72	0.12	0.1
424	WWF SmackDown! 2: Know Your Role	1.76	1.21	0.07	0.16
425	Crisis Core: Final Fantasy VII	1.35	0.6	0.8	0.44
426	God of War: Chains of Olympus	1.48	1.01	0.04	0.66
427	Dragon Quest VI: Maboroshi no Daichi	0	0	3.19	0
428	Dance Central	2.15	0.77	0.01	0.26
429	Enter the Matrix	1.78	1.12	0.09	0.19
430	Super Mario Maker	1.18	0.87	0.93	0.2
431	Fallout: New Vegas	1.52	1.08	0.1	0.47
432	LEGO Batman: The Videogame	1.86	1.02	0	0.29
433	Rhythm Heaven	0.58	0.51	1.93	0.14
434	Ace Combat 04: Shattered Skies	2.06	0.56	0.38	0.17
435	Club Penguin: Elite Penguin Force	1.88	0.98	0	0.3
436	Animal Crossing	1.92	0.16	0.99	0.09
437	LEGO Batman: The Videogame	1.79	1.06	0	0.29
438	Sonic Rush	1.22	1.57	0.06	0.29
439	Resident Evil 6	0.88	0.97	0.88	0.42
440	Halo: The Master Chief Collection	1.89	0.99	0.03	0.24
441	FIFA Soccer 08	0.68	0	0	2.46
442	Spider-Man	1.7	1.25	0.02	0.16
443	Need for Speed III: Hot Pursuit	2.14	0.86	0	0.13
444	Star Wars Episode I Racer	2.31	0.62	0.14	0.04
445	Personal Trainer: Cooking	0.91	1	1.03	0.17
446	The Elder Scrolls IV: Oblivion	1.69	0.87	0.14	0.42
447	Dragon Warrior IV	0.08	0	3.03	0.01
448	Heavy Rain	1.29	1.27	0.06	0.5
449	Mass Effect 2	1.99	0.82	0.03	0.27
450	FIFA 15	0.78	2.02	0	0.3
451	Dragon Ball Z: Budokai	2.17	0.28	0.55	0.08
452	Madden NFL 2002	2.5	0.16	0.01	0.42
453	World Class Track Meet	1.92	0.45	0.64	0.07
454	Borderlands 2	1.89	0.91	0.04	0.24
455	The Legend of Zelda: A Link Between Worlds	1.4	0.99	0.46	0.22
456	Donkey Kong	1.57	0.62	0.55	0.34
457	The Sims: Vacation	1.72	1.21	0	0.14
458	Mass Effect 3	1.94	0.86	0.03	0.24
459	Kung Fu Panda	1.91	0.84	0	0.29
460	Far Cry 3	1.38	1.35	0.02	0.28
461	Epic Mickey	2.06	0.64	0.12	0.22
462	Saints Row 2	1.94	0.8	0.02	0.27
463	Rayman	1.54	1.33	0	0.16
464	Killzone 2	1.4	1.07	0.08	0.47
465	Tom Clancy's Splinter Cell	1.85	1.04	0	0.13
466	Mike Tyson's Punch-Out!!	2.03	0.47	0.45	0.07
467	WWE SmackDown! Shut Your Mouth	1.45	1.13	0.07	0.38
